,year,period,periodName,value
0,2026,M08,August,37.75
1,2026,M07,July,37.65
2,2026,M06,June,37.59
3,2026,M05,May,37.49
4,2026,M04,April,37.41
5,2026,M03,March,37.35
6,2026,M02,February,37.27
7,2026,M01,January,37.15
8,2025,M12,December,37.02
9,2025,M11,November,37.00
10,2025,M10,October,36.85
11,2025,M09,September,36.70
12,2025,M08,August,36.62
13,2025,M07,July,36.47
14,2025,M06,June,36.36
15,2025,M05,May,36.28
16,2025,M04,April,36.12
17,2025,M03,March,36.11
18,2025,M02,February,35.94
19,2025,M01,January,35.84
20,2024,M12,December,35.69
21,2024,M11,November,35.60
22,2024,M10,October,35.46
23,2024,M09,September,35.34
24,2024,M08,August,35.22
25,2024,M07,July,35.08
26,2024,M06,June,35.01
27,2024,M05,May,34.89
28,2024,M04,April,34.76
29,2024,M03,March,34.65
30,2024,M02,February,34.52
31,2024,M01,January,34.47
